level,name,GEOID,county,FIPS,diversity_rank,diversity,median_diversity,pct_hisp,pct_white,pct_black,pct_aian,pct_asian,pct_nhpi,pct_other,pct_two,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two
municipality,Pompton Lakes,3403160090,Passaic,031,153,0.46843215872911337,0.5240613031684282,0.19538060573380067,0.6995596297294868,0.01527815224229352,8.088433540037746e-4,0.05338366136424912,8.987148377819718e-5,0.005572031994248225,0.029927204098139662,11127,2174,7784,170,9,594,1,62,333
municipality,North Bergen,3401752470,Hudson,017,154,0.4610832951376327,0.5240613031684282,0.7086378055901895,0.1773172771894383,0.022142958602294788,0.0011047805432363757,0.06737583055822982,2.2095610864727514e-4,0.009658938463723742,0.013541452944240149,63361,44900,11235,1403,70,4269,14,612,858
municipality,Collingswood,3400714260,Camden,007,155,0.4577811349640908,0.5240613031684282,0.11546595234738474,0.7201466234315522,0.08853799520654167,0.0026786973072042857,0.02453122797123925,1.4098406880022558e-4,0.006203299027209925,0.042295220640067674,14186,1638,10216,1256,38,348,2,88,600
municipality,Hammonton,3400129430,Atlantic,001,156,0.45470116444341757,0.5240613031684282,0.2390728026646727,0.6977091971993746,0.026986608660186255,6.797634423220719e-4,0.010672286044456528,3.3988172116103594e-4,0.002243219359662837,0.02229624090816396,14711,3517,10264,397,10,157,5,33,328
municipality,Somers Point,3400168430,Atlantic,001,157,0.4500463462756159,0.5240613031684282,0.13124462699398223,0.7245200114624128,0.07593848505110326,0.0012417613907727578,0.027700831024930747,1.9104021396503963e-4,0.0038208042793007927,0.03534243958353234,10469,1374,7585,795,13,290,2,40,370
municipality,Wayne,3403177840,Passaic,031,158,0.4438422548047888,0.5240613031684282,0.11741857835807287,0.7293664976840877,0.02988803384514388,4.7412378277836536e-4,0.09422298406214669,0,0.003975345563295525,0.024654436704474997,54838,6439,39997,1639,26,5167,0,218,1352
municipality,Bellmawr,3400704750,Camden,007,159,0.44235409981079765,0.5240613031684282,0.10446741265909285,0.7332365251558897,0.04262407106859144,3.4167592038951053e-4,0.07644998718715298,0,0.005381395746134791,0.03749893226274878,11707,1223,8584,499,4,895,0,63,439
municipality,Tinton Falls,3402573020,Monmouth,025,160,0.44184123769078887,0.5240613031684282,0.08831656326573172,0.7343204212501955,0.0839372295500756,8.341588029821177e-4,0.05427245711902404,0,0.004900682967519942,0.03341848704447109,19181,1694,14085,1610,16,1041,0,94,641
municipality,Passaic,3403156550,Passaic,031,161,0.43688827519104256,0.5240613031684282,0.7313041382536825,0.15336631838609524,0.056778711881707473,0.0015736422019649262,0.03684591065681841,1.1341565419567036e-4,0.00952691495243631,0.010490948013099508,70537,51584,10818,4005,111,2599,8,672,740
municipality,Madison,3402742510,Morris,027,162,0.43519890222882773,0.5240613031684282,0.11832083603944028,0.7369664049123221,0.027336600342445533,6.494656668831553e-4,0.0745114246915038,4.132963334710988e-4,0.004959556001653185,0.036842416012280804,16937,2004,12482,463,11,1262,7,84,624
municipality,Roxbury,3402764980,Morris,027,163,0.4339202566913961,0.5240613031684282,0.14553376906318083,0.73485838779956425,0.028191721132897602,3.485838779956427e-4,0.056296296296296296,8.714596949891067e-5,0.004749455337690632,0.029934640522875818,22950,3340,16865,647,8,1292,2,109,687
municipality,Lincoln Park,3402740290,Morris,027,164,0.43332409328822297,0.5240613031684282,0.13458543289051764,0.7366010077874484,0.030416857535501603,6.41319285387082e-4,0.06587265231333028,1.832340815391663e-4,0.005497022446174988,0.02620247366010078,10915,1469,8040,332,7,719,2,60,286
municipality,Hopatcong,3403732910,Sussex,037,165,0.4330135065105213,0.5240613031684282,0.17713410388525275,0.7301907812282412,0.02945272246205264,0.002367358306642529,0.024578749477788608,2.0888455646845844e-4,0.005709511210137864,0.030357888873415957,14362,2544,10487,423,34,353,3,82,436
municipality,Mahwah,3400342750,Bergen,003,166,0.43220335529749354,0.5240613031684282,0.08647545807666654,0.7392003766626123,0.026915682504806374,0.0036489190567740417,0.11103699925452191,7.847137756503315e-5,0.0040412759445992074,0.028602817122454584,25487,2204,18840,686,93,2830,2,103,729
municipality,Wanaque,3403176730,Passaic,031,167,0.42735770743539736,0.5240613031684282,0.1465936202173721,0.739683661747813,0.02695060528408589,0.0023857912874436686,0.04798091366970045,0,0.005478483697092869,0.030926924096492003,11317,1659,8371,305,27,543,0,62,350
municipality,Hanover,3402729550,Morris,027,168,0.4264564498863954,0.5240613031684282,0.07126797029365674,0.7412959051577298,0.022143489813994686,6.813381481229134e-4,0.13272467125434353,3.406690740614567e-4,0.0027253525924916537,0.028820603665599236,14677,1046,10880,325,10,1948,5,40,423
municipality,Freehold,3402525230,Monmouth,025,169,0.4242531465245605,0.5240613031684282,0.10280188865956064,0.7463880799570245,0.04257966015437247,7.916537080494218e-4,0.07308660126099126,1.1309338686420312e-4,0.004043088580395262,0.03019593429274223,35369,3636,26399,1506,28,2585,4,143,1068
municipality,Florham Park,3402723910,Morris,027,170,0.42387584844195736,0.5240613031684282,0.07381803734604687,0.7477155343663091,0.057608263806118394,3.972983710766786e-4,0.08541914978148589,6.356773937226857e-4,0.0032578466428287646,0.0311481922924116,12585,929,9410,725,5,1075,8,41,392
municipality,Glen Rock,3400326640,Bergen,003,171,0.4210726102410284,0.5240613031684282,0.0698920300008242,0.7448281546196324,0.013434435011950878,0,0.13327289211242066,8.241984669908514e-5,0.0020604961674771283,0.036429572240995634,12133,848,9037,163,0,1617,1,25,442
municipality,Hopewell,3402133180,Mercer,021,172,0.4189166524515049,0.5240613031684282,0.05940197816019667,0.7494139843348008,0.033502944371391,5.145503401749471e-4,0.11634554913955748,4.0020582013607e-4,0.005088331141730033,0.035332456692013035,17491,1039,13108,586,9,2035,7,89,618
municipality,Morris,3402748090,Morris,027,173,0.4184997140874136,0.5240613031684282,0.1035083137459737,0.7509793679811961,0.04435448768172717,3.917471924784539e-4,0.05954557325672499,3.917471924784539e-4,0.005092713502219901,0.035736049447201185,22974,2378,17253,1019,9,1368,9,117,821
municipality,Branchburg,3403507180,Somerset,035,174,0.4167588874014577,0.5240613031684282,0.0746987951807229,0.7510709504685408,0.029317269076305223,4.685408299866131e-4,0.10769745649263722,0,0.0038821954484605085,0.03286479250334672,14940,1116,11221,438,7,1609,0,58,491
municipality,Woolwich,3401582840,Gloucester,015,175,0.41549690228459846,0.5240613031684282,0.05176115130794307,0.7531207760197185,0.10256818001113142,3.180408682515703e-4,0.05088653892025125,7.951021706289258e-5,0.002305796294823885,0.03896000636081737,12577,651,9472,1290,4,640,1,29,490
municipality,Cedar Grove,3401311200,Essex,013,176,0.41510941332048124,0.5240613031684282,0.11286594761171033,0.7514637904468413,0.02349768875192604,0.001386748844375963,0.07827426810477658,1.5408320493066256e-4,0.005007704160246533,0.027349768875192602,12980,1465,9754,305,18,1016,2,65,355
municipality,Moorestown,3400547880,Burlington,005,177,0.41495202928321284,0.5240613031684282,0.046967923202996954,0.7541091079372513,0.054834933270896745,9.365488176071178e-4,0.09683914774057598,0,0.0044017794427534535,0.04191055958791852,21355,1003,16104,1171,20,2068,0,94,895
municipality,Howell,3402533300,Monmouth,025,178,0.4075313775406971,0.5240613031684282,0.1187776677811607,0.7573267086314138,0.036572837476885146,7.284681622055774e-4,0.048956796234379964,1.8678670825784038e-4,0.004931169098006986,0.03251956590769001,53537,6359,40545,1958,39,2621,10,264,1741
municipality,Jackson,3402934680,Ocean,029,179,0.4043748788819491,0.5240613031684282,0.12884326318666303,0.7583185296529106,0.04729775895053293,7.174091281770975e-4,0.02661246242142662,2.220552063405302e-4,0.00654208800218639,0.031446433451762776,58544,7543,44395,2769,42,1558,13,383,1841
municipality,West New York,3401779610,Hudson,017,180,0.40366988346507104,0.5240613031684282,0.7581267009374055,0.1256614756576958,0.023321741759903234,9.638645297853039e-4,0.07077789537345025,1.5119443604475356e-4,0.008447989114000605,0.012549138191714545,52912,40114,6649,1234,51,3745,8,447,664
municipality,Middle,3400945810,Cape May,009,181,0.39921191184953986,0.5240613031684282,0.09602551521099117,0.7640824337585869,0.07674190382728165,0.001619234543670265,0.01830225711481845,5.397448478900883e-4,0.003925417075564278,0.03876349362119725,20380,1957,15572,1564,33,373,11,80,790
municipality,East Hanover,3402719210,Morris,027,182,0.3978858106312365,0.5240613031684282,0.07888338586222422,0.7609185051778479,0.012696983340837461,3.6019810895992794e-4,0.12832057631697433,0,0.0027014858171994596,0.016118865375956776,11105,876,8450,141,4,1425,0,30,179
municipality,Westfield,3403979040,Union,039,183,0.39548758963877717,0.5240613031684282,0.07240912606341841,0.7675625161124001,0.02545759216292859,6.122712039185357e-4,0.0881348285640629,3.222480020623872e-5,0.004833720030935808,0.040957721062129415,31032,2247,23819,790,19,2735,1,150,1271
municipality,Raritan,3401961920,Hunterdon,019,184,0.39509176964309645,0.5240613031684282,0.08099117157845354,0.7672196869535548,0.02507783511749904,6.823900712244637e-4,0.08973429436601697,8.529875890305796e-5,0.004222288565701369,0.03198703458864673,23447,1899,17989,588,16,2104,2,99,750
municipality,Clinton,3401913750,Hunterdon,019,185,0.39422951527955774,0.5240613031684282,0.07930396149574231,0.7694187338022954,0.05605331358756016,5.923731951129211e-4,0.056867826730840426,7.404664938911514e-5,0.0048870788596816,0.03280266567937801,13505,1071,10391,757,8,768,1,66,443
municipality,Waldwick,3400376400,Bergen,003,186,0.39189230599330405,0.5240613031684282,0.13074169815072578,0.7656591767747067,0.01252734141976536,5.965400676078744e-4,0.06363094054483993,0,0.003082123682640684,0.02376217935971366,10058,1315,7701,126,6,640,0,31,239
municipality,Toms River,3402973125,Ocean,029,187,0.3858812814129927,0.5240613031684282,0.12147153125589388,0.7719252289444456,0.03305811102495861,6.810704331607955e-4,0.03960686518996626,1.1525807330413463e-4,0.004662712965485446,0.028479222112785262,95438,11593,73671,3155,65,3780,11,445,2718
