Town,County,Best Towns Rank,Diversity Index,Population density,Diversity Index rank,Pop. density rank,Diversity Index percentile,Pop. density percentile,"Population, 2013-17",Square miles,pct Asian,pct Black,pct Two or more,pct Native American,pct Other race,pct Pacific Islander,pct White,pct Hispanic,pct Non-Hispanic,"Med. Household Income, 2013-17",twp_identifier
Mountainside,Union,60,0.23003187668871894,1728,316,304,0.24734982332155478,0.35335689045936397,6907,3.9963817179,0.06978427682061676,0.01636021427537281,0.026639640943969884,0,0.013175039814680758,0,0.8740408281453598,0.03720862892717533,0.9627913710728246,129405,Mountainside Union
Northfield,Atlantic,61,0.18687246907262367,2367,355,257,0.18021201413427562,0.4275618374558304,8480,3.5824458384,0.05306603773584906,0.014386792452830189,0.014976415094339623,3.5377358490566035e-4,0.017452830188679245,0,0.8997641509433962,0.12476415094339623,0.8752358490566038,73586,Northfield Atlantic
Westfield,Union,62,0.26641027938255724,4549,274,124,0.3286219081272085,0.6713780918727915,30591,6.7240870983,0.06282893661534439,0.03478147167467556,0.019025203491222907,3.9227223693243113e-4,0.030237651596874898,0,0.8527344643849498,0.07597005655258082,0.9240299434474192,159923,Westfield Union
Long Hill,Morris,63,0.1377557067233437,744,417,394,0.09540636042402827,0.1696113074204947,8763,11.7820109979,0.04838525619080224,0.00775989957777017,0.011868081707177907,0,0.003423485107839781,0.0013693940431359123,0.927193883373274,0.04279356384799726,0.9572064361520027,133269,Long Hill township Morris
Tenafly,Bergen,64,0.4813892492373053,3245,118,200,0.6819787985865724,0.5229681978798587,14882,4.5863205102,0.2597097164359629,0.022980782152936433,0.02277919634457734,0,0.02405590646418492,0,0.6704743986023384,0.10966267974734578,0.8903373202526542,153906,Tenafly Bergen
East Brunswick,Middlesex,65,0.4922846828140822,2234,109,267,0.7067137809187279,0.4028268551236749,48673,21.7840843935,0.2556859038892199,0.04556941219978222,0.02391469603270807,5.341770591498367e-4,0.011299899328169622,0,0.6629959114909704,0.07519569371109239,0.9248043062889076,105959,East Brunswick township Middlesex
Haworth,Bergen,66,0.31934741694163415,1793,231,299,0.4169611307420495,0.36395759717314485,3473,1.9365822333,0.161243881370573,0.007486323063633746,0.020443420673769076,0.0020155485171321624,0,0,0.808810826374892,0.029081485747192628,0.9709185142528074,170417,Haworth Bergen
Norwood,Bergen,67,0.4632544705921767,2106,125,280,0.6713780918727915,0.38162544169611307,5864,2.7850169061,0.28240109140518416,0.008526603001364257,0.008697135061391541,0.007844474761255117,0.016882673942701227,0,0.6756480218281037,0.083731241473397,0.91626875852660306,125417,Norwood Bergen
Tewksbury,Hunterdon,68,0.09622276378115502,186,473,485,0.0176678445229682,0.0035335689045936395,5881,31.6419085125,0.04710083319163408,0,0.0034007821799013774,0,0,0,0.9494983846284646,0.030947117837102533,0.9690528821628974,161477,Tewksbury township Hunterdon
Sparta,Sussex,69,0.1547581946818336,518,391,423,0.1166077738515901,0.09540636042402827,19053,36.7865686188,0.03049388547735265,0.025455308875242742,0.015115729806329713,6.29822075263738e-4,0.009972182858342518,0,0.9183330709074686,0.06607883272975384,0.9339211672702462,133113,Sparta township Sussex
