Municipality,Diversity Index,Population density,Diversity Index rank,Pop. density rank,Diversity Index percentile,Pop. density percentile,"Population, 2013-17",Square miles,pct Asian,pct Black,pct Two or more,pct Native American,pct Other race,pct Pacific Islander,pct White,pct Hispanic,pct Non-Hispanic
Ringwood,20.0%,487,227,258,20,9,12451,25.5816975843,4.1%,1.3%,1.6%,1.8%,2.0%,0.0%,89.3%,6.7%,93.3%
Cranford,19.9%,"4,958",228,84,20,71,23972,4.8350368638,3.1%,2.8%,1.3%,0.0%,3.4%,0.0%,89.3%,10.0%,90.0%
Raritan,18.8%,590,232,250,18,12,22103,37.4815042173,5.8%,2.5%,1.6%,0.0%,0.3%,0.0%,89.9%,5.3%,94.7%
Manchester,18.6%,533,234,256,18,10,43418,81.41632785,2.2%,3.9%,2.5%,0.0%,1.3%,0.1%,90.1%,5.5%,94.5%
Jefferson,17.8%,552,236,255,17,10,21440,38.8357735194,5.5%,1.9%,1.6%,0.1%,0.5%,0.0%,90.5%,8.7%,91.3%
Hawthorne,17.6%,"5,745",237,74,17,74,19065,3.3183630909,0.8%,2.7%,1.9%,0.0%,4.0%,0.0%,90.6%,20.6%,79.4%
Lakewood,16.6%,"4,030",243,107,14,63,99467,24.6805174044,1.0%,3.3%,0.8%,0.0%,3.8%,0.0%,91.2%,16.0%,84.0%
Pitman,16.0%,"4,008",248,108,13,62,8886,2.2173286707,2.3%,2.0%,3.8%,0.1%,0.2%,0.0%,91.5%,2.8%,97.2%
Medford,15.5%,602,250,247,12,13,23353,38.7984778038,2.5%,2.2%,2.1%,0.0%,1.3%,0.1%,91.8%,3.4%,96.6%
Sparta,15.5%,518,251,257,12,10,19053,36.7865686188,3.0%,2.5%,1.5%,0.1%,1.0%,0.0%,91.8%,6.6%,93.4%
Kinnelon,14.9%,569,253,254,11,11,10242,18.011287008,5.6%,0.4%,1.8%,0.0%,0.2%,0.0%,92.1%,12.3%,87.7%
Pennsville,14.1%,599,255,248,10,13,12742,21.2662737144,1.4%,2.5%,2.5%,0.2%,0.8%,0.0%,92.6%,2.9%,97.1%
Long Hill,13.8%,744,257,236,10,17,8763,11.7820109979,4.8%,0.8%,1.2%,0.0%,0.3%,0.1%,92.7%,4.3%,95.7%
West Milford,13.2%,352,258,267,9,6,26759,75.9179723445,1.6%,1.2%,1.5%,0.7%,1.7%,0.2%,93.1%,9.1%,90.9%
Vernon,12.9%,334,260,270,8,5,22572,67.6050254451,0.6%,2.5%,2.4%,0.1%,1.2%,0.0%,93.2%,9.7%,90.3%
Readington,12.8%,336,261,269,8,5,15962,47.5564095864,4.1%,0.7%,0.9%,0.1%,0.9%,0.0%,93.3%,4.3%,95.7%
Stafford,12.7%,586,262,251,8,12,27012,46.0875859587,1.3%,2.5%,1.7%,0.0%,1.0%,0.0%,93.4%,6.7%,93.3%
Washington,12.3%,420,264,262,7,8,18713,44.5801233735,3.8%,1.4%,1.1%,0.0%,0.1%,0.0%,93.6%,3.9%,96.1%
Mantua,12.2%,944,265,226,7,20,15110,16.0025519511,2.6%,2.7%,1.0%,0.0%,0.2%,0.0%,93.6%,3.2%,96.8%
Haddon,12.2%,"5,428",266,77,6,73,14612,2.6921973078,2.1%,2.4%,0.9%,0.0%,1.1%,0.0%,93.6%,4.1%,95.9%
Harrison,11.8%,681,267,243,6,14,12884,18.9311775939,1.5%,2.6%,1.0%,0.0%,1.0%,0.0%,93.8%,2.9%,97.1%
Little Egg Harbor,11.2%,437,268,261,6,8,20695,47.340446868,1.7%,1.0%,2.4%,0.0%,0.7%,0.1%,94.2%,5.3%,94.7%
Haddonfield,11.1%,"4,087",269,104,5,64,11428,2.7962709489,2.1%,1.1%,2.3%,0.0%,0.3%,0.0%,94.3%,3.8%,96.2%
Lower,11.0%,797,271,233,5,18,22051,27.677173095,0.6%,2.1%,1.9%,0.0%,1.1%,0.0%,94.3%,6.7%,93.3%
Colts Neck,10.9%,326,272,271,4,5,10018,30.7142932239,2.3%,1.7%,1.5%,0.0%,0.1%,0.0%,94.3%,3.6%,96.4%
Audubon,10.5%,"5,894",274,70,4,76,8736,1.4821537302,0.2%,3.9%,1.1%,0.0%,0.4%,0.0%,94.5%,2.2%,97.8%
Wall,10.2%,849,276,231,3,19,26020,30.6579859443,1.0%,3.4%,0.6%,0.0%,0.3%,0.0%,94.7%,3.2%,96.8%
Beachwood,9.9%,"4,051",277,106,2,63,11193,2.7630516771,0.3%,1.3%,1.9%,0.1%,1.5%,0.0%,94.9%,7.8%,92.2%
Berkeley,8.9%,976,279,224,2,21,41676,42.7171422249,1.6%,1.5%,0.8%,0.1%,0.6%,0.0%,95.4%,5.9%,94.1%
Lacey,6.0%,341,280,268,1,6,28444,83.3729143104,1.2%,0.8%,0.4%,0.0%,0.7%,0.0%,96.9%,4.7%,95.3%
Ocean,4.7%,419,282,263,1,7,8838,21.0995283213,0.5%,0.5%,0.9%,0.6%,0.0%,0.0%,97.6%,2.4%,97.6%
Point Pleasant,3.2%,"5,305",283,79,0,72,18519,3.4910374356,0.2%,0.4%,0.6%,0.0%,0.4%,0.0%,98.4%,4.6%,95.4%
