GEOID,Town,County,Best Towns Rank,Total Population,"Population (ACS, 2012-17)",pct_white,pct_black,pct_natam,pct_asian,pct_pacis,pct_other,pct_multi,racial_diversity,racial_diversity_rank,state_racial_diversity,more_racial_diverse_than_state,pct_not_hispanic,pct_hispanic,econ_diversity,econ_diversity_rank,state_econ_diversity,more_econ_diverse_than_state,mhi,density,density_rank
3400313810,Closter,Bergen,41,"8,766",8710,0.5925373134328358,0.03857634902411022,0,0.3598163030998852,0,0.002296211251435132,0.006773823191733639,0.5178924682425547,92,0.5069469017864137,1,0.9261768082663605,0.07382319173363949,0.830236,453,0.883128,0,130670,2754.0935070767327,227
3402712130,Chatham Twp.,Morris,42,"10,435",10507,0.8575235557247549,0.01970115161321024,0,0.10288379175787571,0,0.002855239364233368,0.017036261539925764,0.25338175479672476,294,0.5069469017864137,0,0.9686875416389074,0.0313124583610926,0.7416780000000001,525,0.883128,0,176364,1170.2348470053728,351
3402500760,Allentown,Monmouth,43,"1,811",1890,0.9126984126984127,0.031216931216931216,0,0.01164021164021164,0,0.0291005291005291,0.015343915343915344,0.16478933960415443,377,0.5069469017864137,0,0.9687830687830687,0.031216931216931216,0.855205,330,0.883128,0,96154,3126.4486523495516,209
3401543440,Mantua,Gloucester,44,"15,026",15110,0.9361350099272006,0.026803441429516878,0,0.025678358702845797,0,0.0015221707478491066,0.009861019192587691,0.12217388390716033,437,0.5069469017864137,0,0.9677035076108538,0.03229649238914626,0.854257,337,0.883128,0,93601,953.3886771398701,377
3401530180,Harrison,Gloucester,45,"13,015",12884,0.9384507916796027,0.026466935734244024,0,0.014591741695125737,0,0.01001241850357032,0.010478112387457312,0.11818665461957423,442,0.5069469017864137,0,0.9711269791990065,0.02887302080099348,0.821894,472,0.883128,0,130491,672.8665619897763,402
3402719210,East Hanover,Morris,46,"11,234",11241,0.841829018770572,0.008184325237968153,7.116804554754915e-4,0.13041544346588382,0,8.896005693443643e-4,0.01796993150075616,0.27392451576538634,269,0.5069469017864137,0,0.8555288675384752,0.14447113246152476,0.851145,359,0.883128,0,121769,1427.0687542144733,333
3401937065,Kingwood,Hunterdon,47,"3,752",3777,0.9703468361133174,0,0,0.006619009796134498,0,0.003177124702144559,0.019857029388403495,0.057978810616688525,505,0.5069469017864137,0,0.9819962933545142,0.018003706645485836,0.829961,454,0.883128,0,112139,107.42546957110045,511
3400383050,Wyckoff,Bergen,48,"17,322",17231,0.9250768962915675,0.005919563577273519,0,0.051999303580755614,0,0.0019151529220590795,0.015089083628344263,0.14126241888627333,414,0.5069469017864137,0,0.9660495618362254,0.03395043816377459,0.8063100000000001,491,0.883128,0,147463,2634.4463611380365,237
3400353850,Oakland,Bergen,49,"13,224",13145,0.9100038037276531,0.022518067706352226,0.002206162038798022,0.05576264739444656,0,0.001217192848992012,0.008292126283758083,0.16820143291585898,373,0.5069469017864137,0,0.9303157093952074,0.0696842906047927,0.842917,412,0.883128,0,112944,1554.7255328266017,322
3400354990,Oradell,Bergen,50,"8,314",8222,0.8050352712235466,0.024446606665045,0,0.1347603989297008,0,0.008756993432254926,0.02700072974945269,0.3323544860479277,221,0.5069469017864137,0,0.9573096570177573,0.042690342982242765,0.8242430000000001,468,0.883128,0,137583,3392.1422995526864,193
