GEOID,Town,County,Best Towns Rank,Total Population,"Population (ACS, 2012-17)",pct_white,pct_black,pct_natam,pct_asian,pct_pacis,pct_other,pct_multi,racial_diversity,racial_diversity_rank,state_racial_diversity,more_racial_diverse_than_state,pct_not_hispanic,pct_hispanic,econ_diversity,econ_diversity_rank,state_econ_diversity,more_econ_diverse_than_state,density,density_rank
3403974480,Union Township,Union,383,"59,327",58499,0.490418639634866,0.305971042240038,0.00350433340740867,0.10408724935469,1.02565855826595e-4,0.0777962016444726,0.0181199678626985,0.648644250632969,19,0.506946901786414,1,0.836612591668234,0.163387408331766,0.873193,103,0.883128,0,6448.71556270336,74
3401719360,East Newark,Hudson,384,"2,735",2725,0.467522935779817,0.0238532110091743,0,0.0748623853211009,0,0.423853211009174,0.00990825688073394,0.595499234071206,42,0.506946901786414,1,0.252110091743119,0.747889908256881,0.864071,230,0.883128,0,26627.3701709668,5
3402382000,Woodbridge,Middlesex,385,"101,965",101639,0.569633703598028,0.115398616672734,0.00125935910428084,0.245771800194807,7.87099440175523e-5,0.0413620755812237,0.0264957349049085,0.59938238777907,41,0.506946901786414,1,0.811332264189927,0.188667735810073,0.864891,213,0.883128,0,4378.28242192296,134
3400517080,Delanco,Burlington,386,"4,479",4503,0.767266266933156,0.150788363313347,0,0.00111037086386853,0,0.0117699311570064,0.0690650677326227,0.383655597331934,185,0.506946901786414,0,0.946480124361537,0.0535198756384632,0.856959,317,0.883128,0,1911.25147994784,291
3400180330,Weymouth,Atlantic,387,"2,820",2772,0.858585858585859,0.0894660894660895,0,0.0183982683982684,0,0.0018037518037518,0.0317460317460317,0.253476581939786,293,0.506946901786414,0,0.977994227994228,0.022005772005772,0.868749,157,0.883128,0,229.295351833274,470
3400344880,Maywood,Bergen,388,"9,860",9789,0.712534477474717,0.0469915210951068,7.15088364490755e-4,0.156297885381551,0,0.0464807436918991,0.0369802839922362,0.462128874090589,127,0.506946901786414,0,0.791807130452549,0.208192869547451,0.872234,116,0.883128,0,7612.6532722158,54
3400520050,Edgewater Park,Burlington,389,"8,738",8799,0.61075122172974206,0.293783384475509,9.09194226616661e-4,0.0146607569041937,0,0.0458006591658143,0.0340947834981248,0.53719834909279,78,0.506946901786414,1,0.85157404250483,0.14842595749517,0.863268,239,0.883128,0,3040.46805994967,213
3401517710,Deptford,Gloucester,390,"30,582",30556,0.740411048566566,0.137517999738186,0,0.0592027752323603,0,0.0302722869485535,0.0325958895143343,0.427396406943027,151,0.506946901786414,0,0.925742898285116,0.0742571017148841,0.868358,164,0.883128,0,1759.98870390039,302
3403310610,Carneys Point,Salem,391,"7,702",7794,0.783551449833205,0.16025147549397,0.0029509879394406,0.00859635617141391,0,0.0264305876315114,0.0182191429304593,0.359253471265376,204,0.506946901786414,0,0.865409289196818,0.134590710803182,0.874255,91,0.883128,0,462.163164758623,425
3400129430,Hammonton,Atlantic,392,"14,369",14557,0.82833001305214,0.0289207941196675,5.49563783746651e-4,0.0138764855396029,0.00123651851342997,0.0936319296558357,0.0334546953355774,0.302952434404141,245,0.506946901786414,0,0.793570103730164,0.206429896269836,0.869171,151,0.883128,0,356.028984594838,440
3401777930,Weehawken,Hudson,393,"15,342",14268,0.750140173815531,0.0397392767031119,0.00658816932996916,0.0998738435660219,0,0.0599943930473787,0.0436641435379871,0.420186436283318,156,0.506946901786414,0,0.623983739837398,0.376016260162602,0.875506,77,0.883128,0,18183.2251764121,9
3400748750,Mount Ephraim,Camden,394,"4,635",4641,0.921999569058393,0.0588235294117647,0,0.00387847446670976,0,0.00646412411118293,0.00883430295195001,0.146321714670321,403,0.506946901786414,0,0.986856280973928,0.013143719026072,0.850363,364,0.883128,0,5317.69783430973,101
3402573020,Tinton Falls,Monmouth,395,"17,789",17902,0.792648866048486,0.0884258742039996,0.00256954530220087,0.0550217852753882,1.11719360965255e-4,0.0265333482292481,0.0346888615797118,0.35894729233819,206,0.506946901786414,0,0.949279410121774,0.0507205898782259,0.878868,45,0.883128,0,1155.95095148585,354
3402122185,Ewing,Mercer,396,"36,549",36437,0.622005104701265,0.287619727200373,0.00225045969756017,0.0480829925625051,0,0.0184702362982682,0.021571479540028,0.527261025149675,84,0.506946901786414,1,0.91481186705821,0.0851881329417899,0.867823,172,0.883128,0,2389.16652376638,257
3401513360,Clayton,Gloucester,397,"8,676",8475,0.743952802359882,0.16094395280236,0.00188790560471976,0.0153392330383481,0,0.00943952802359882,0.0684365781710914,0.415619745738377,159,0.506946901786414,0,0.954808259587021,0.0451917404129794,0.879831,38,0.883128,0,1186.99122887569,349
3400340680,Little Ferry,Bergen,398,"11,000",10942,0.631602997623835,0.0274172911716322,0,0.262109303600804,5.48345823432645e-4,0.0533723268141108,0.0249497349661853,0.52815326327572,83,0.506946901786414,1,0.726649607018827,0.273350392981173,0.876495,66,0.883128,0,7414.87438600118,58
3400708170,Brooklawn,Camden,399,"1,934",2006,0.831505483549352,0.0568295114656032,0.00149551345962114,0.0204386839481555,0,0.06580259222333,0.0239282153539382,0.300046520458565,248,0.506946901786414,0,0.922731804586241,0.0772681954137587,0.864273,227,0.883128,0,4078.29241264453,148
3401122350,Fairfield,Cumberland,400,"6,087",6300,0.363174603174603,0.462222222222222,0.0511111111111111,0.00285714285714286,0,0.0585714285714286,0.0620634920634921,0.64455182665658906,23,0.506946901786414,1,0.842698412698413,0.157301587301587,0.873274,101,0.883128,0,152.688427200139,494
3400941610,Lower,Cape May,401,"21,766",22051,0.942678336583375,0.0206339848532946,0,0.0061675207473584,3.17445920819917e-4,0.0107478118906172,0.0194549000045349,0.110399644726771,453,0.506946901786414,0,0.932565416534398,0.0674345834656025,0.865432,207,0.883128,0,794.849725407333,390
3400753880,Oaklyn,Camden,402,"3,996",4009,0.90920429034672,0.0371663756547768,0.00149663257670242,0.0172112746320778,0,0.00922923422299825,0.0256921925667249,0.170922483529046,370,0.506946901786414,0,0.961586430531305,0.0384135694686954,0.84226,415,0.883128,0,6386.66181215768,75
3402310750,Carteret,Middlesex,403,"24,084",24040,0.530657237936772,0.153577371048253,0.00228785357737105,0.233194675540765,0,0.0502911813643927,0.0299916805324459,0.637003192128482,26,0.506946901786414,1,0.65648918469218,0.34351081530782,0.865865,202,0.883128,0,5441.85199216833,96
3401379800,West Orange,Essex,404,"48,435",47609,0.576907727530509,0.27412884118549,0.0015333235312651,0.0808040496544771,8.40177277405533e-5,0.0346573126929782,0.03188472767754,0.583281434583121,48,0.506946901786414,1,0.801193051733916,0.198806948266084,0.874624,85,0.883128,0,3952.21396638547,153
3402973125,Toms River,Ocean,405,"93,017",91415,0.882262210796915,0.0320078761691189,7.87616911885358e-4,0.0419187223103429,4.37564951047421e-5,0.0221736038943281,0.0208062134223049,0.217906518501083,325,0.506946901786414,0,0.916512607340152,0.0834873926598479,0.875632,76,0.883128,0,2257.79624990891,263
3403153040,North Haledon,Passaic,406,"8,570",8564,0.91394208313872,0,0,0.0416861279775806,0,0.0227697337692667,0.0216020551144325,0.161987025841203,381,0.506946901786414,0,0.922582905184493,0.0774170948155068,0.845934,397,0.883128,0,2478.26616983458,251
3402940560,Little Egg Harbor,Ocean,407,"21,177",20695,0.942014979463639,0.00951920753805267,3.86566803575743e-4,0.0166706934042039,5.79850205363614e-4,0.0066199565112346,0.0242087460739309,0.111608878264554,449,0.506946901786414,0,0.946508818555207,0.0534911814447934,0.865263,209,0.883128,0,436.90221618566,431
3400108710,Buena Vista,Atlantic,408,"7,422",7488,0.834134615384615,0.0751869658119658,0.0237713675213675,0.00427350427350427,0,0.0428685897435897,0.0197649572649573,0.295754653314249,251,0.506946901786414,0,0.867922008547009,0.132077991452991,0.861553,260,0.883128,0,182.394775972054,488
3403751930,Newton,Sussex,409,"7,860",7937,0.844651631598841,0.0604762504724707,0,0.0180168829532569,0,0.0645080005039688,0.0123472344714628,0.278267899966742,265,0.506946901786414,0,0.829784553357692,0.170215446642308,0.881176,30,0.883128,0,2363.58458092623,258
3400376490,Wallington,Bergen,410,"11,781",11701,0.88889838475344,0.0368344585932826,0.00170925561917785,0.0574309888043757,0,0.00700794803862918,0.00811896419109478,0.205086615297797,336,0.506946901786414,0,0.855055123493718,0.144944876506282,0.864451,225,0.883128,0,11896.7138310898,23
3403771670,Sussex,Sussex,411,"2,024",1872,0.876068376068376,0.0224358974358974,0,0.0988247863247863,0,0.0016025641025641,0.00106837606837607,0.222230782927898,323,0.506946901786414,0,0.918269230769231,0.0817307692307692,0.871779,119,0.883128,0,3177.94326422155,207
